primarysite,count(*),shorter_term
adrenal_gland,10179,adrenal_gland
autonomic_ganglia,7998,autonomic_ganglia
biliary_tract,6549,biliary_tract
bone,9346,bone
breast,48056,breast
central_nervous_system,55184,CNS
cervix,6466,cervix
endometrium,17188,endometrium
eye,4085,eye
fallopian_tube,10,fallopian_tube
female_genital_tract_(site_indeterminate),11,FGT
gastrointestinal_tract_(site_indeterminate),1513,GIT
genital_tract,682,genital_tract
haematopoietic_and_lymphoid_tissue,416680,blood
kidney,15446,kidney
large_intestine,183125,large_intestine
liver,18744,liver
lung,163708,lung
mediastinum,1,mediastinum
meninges,5034,meninges
midline_organs,47,midline_organs
NS,6002,NS
oesophagus,13722,oesophagus
ovary,23874,ovary
pancreas,15765,pancreas
paratesticular_tissues,3,paratesticular_tissues
parathyroid,2901,parathyroid
penis,84,penis
pericardium,4,pericardium
peritoneum,495,peritoneum
pituitary,4349,pituitary
placenta,51,placenta
pleura,1905,pleura
prostate,20740,prostate
retroperitoneum,1,retroperitoneum
salivary_gland,2662,salivary_gland
skin,42699,skin
small_intestine,1748,small_intestine
soft_tissue,41638,soft_tissue
stomach,25006,stomach
testis,2167,testis
thymus,998,thymus
thyroid,71616,thyroid
upper_aerodigestive_tract,19179,UAT
urinary_tract,21702,urinary_tract
vagina,34,vagina
vulva,557,vulva
