primarysite,count(*).x,count(*).y,cosmic_term
NA,1,NA,NS
 lung,1,NA,lung
abdomen,19,NA,soft_tissue
abdominal wall,3,NA,soft_tissue
adnexa,1,NA,soft_tissue
adrenal gland,83,NA,adrenal_gland
ampulla of vater,15,NA,ampulla of vater
anal,1,NA,NS
anorectal junction,1,NA,NS
anus,37,NA,large_intestine
appendix,85,NA,large_intestine
arm,4,NA,skin
ascending colon,110,NA,large_intestine
auditory canal,1,NA,skin
axilla,3,NA,soft_tissue
back,3,NA,skin
bile duct,48,NA,biliary_tract
bladder,336,NA,urinary_tract
blood,1,NA,haematopoietic_and_lymphoid_tissue
blood vessel,5,NA,soft_tissue
bone,92,9346,bone
bone marrow,1,NA,haematopoietic_and_lymphoid_tissue
bowel,1,NA,large_intestine
brain,621,NA,central_nervous_system
breast,1351,48056,breast
buttock,4,NA,soft_tissue
cancer of unknown primary,220,NA,NS
cecum,139,NA,large/small_intestine
cervix,52,6466,cervix
cheek,1,NA,NS
chest,1,NA,bone
chest wall,12,NA,soft_tissue
clivus,1,NA,bone
colon,15,NA,large_intestine
colorectal nos,16,NA,large_intestine
conjunctiva,4,NA,head_and_neck
descending colon,55,NA,large_intestine
diaphragm,1,NA,pleura
duodenum,21,NA,small_intestine
duodenum-jejunum,2,NA,small_intestine
ear canal,1,NA,salivary_gland
ectopic embryonic rest,1,NA,salivary_gland
epidural,4,NA,bone
esophagus,137,NA,stomach
ethmoid sinus,4,NA,head_and_neck
eye,52,4085,eye
eyelid,5,NA,skin
femoral tendon,1,NA,salivary_gland
femoral vein,1,NA,soft_tissue
fibula,1,NA,bone
flank,1,NA,central_nervous_system
foot,9,NA,skin
forearm,1,NA,soft_tissue
forehead,1,NA,soft_tissue
gallbladder,53,NA,biliary_tract
gastric wall,1,NA,soft_tissue
ge junction,42,NA,stomach
groin,7,NA,soft_tissue
hard palate,1,NA,salivary_gland
heart,7,NA,soft_tissue
hip,1,NA,soft_tissue
hypopharynx,3,NA,head_and_neck
ileocecal valve,2,NA,small_intestine
ileum,11,NA,small_intestine
inguinal canal,1,NA,soft_tissue
intraabdominal,10,NA,soft_tissue
intrahepatic bile duct,1,NA,biliary_tract
jejunum,11,NA,small_intestine
kidney,369,15446,kidney
knee,2,NA,soft_tissue or bone
larynx,20,NA,head_and_neck
leg,17,NA,soft_tissue or bone
liver,262,18744,liver
lower extremity,34,NA,soft_tissue
lung,1778,163708,lung
lymph node,110,NA,haematopoietic_and_lymphoid_tissue
major salivary gland,53,NA,salivary_gland
mandible,1,NA,head_and_neck
maxilla,8,NA,soft_tissue
maxillary sinus,1,NA,soft_tissue
mediastinum,60,1,mediastinum
mesentery,5,NA,soft_tissue 
minor salivary gland,25,NA,salivary_gland
muscle,4,NA,soft_tissue
nailbed,3,NA,skin
nasal cavity,1,NA,head_and_neck
nasopharynx,21,NA,head_and_neck
neck,16,NA,head_and_neck 
nerve sheath,1,NA,peripheral_nervous_system
not available,28,NA,NS
omentum,3,NA,peritoneum
oral cavity,50,NA,head_and_neck
orbit,1,NA,head_and_neck
oropharynx,41,NA,head_and_neck
ovary,251,23874,ovary
palate,1,NA,soft_tissue 
pancreas,515,15765,pancreas
paraspinal,1,NA,central_nervous_system
parotid,2,NA,skin
parotid gland,12,NA,skin
pelvis,27,NA,soft_tissue
penis,9,84,penis
peri-colic gutter,1,NA,peritoneum
perineal ,1,NA,salivary_gland
perineal mass,1,NA,bone
perineum,1,NA,haematopoietic_and_lymphoid_tissue
peritoneum,14,495,peritoneum
periurethra,1,NA,skin
pharynx,6,NA,soft_tissue
pituitary gland,1,NA,haematopoietic_and_lymphoid_tissue
pituitary mass,1,NA,haematopoietic_and_lymphoid_tissue
pleura,82,1905,pleura
pleural fluid,1,NA,pleura
porto-cava mass,1,NA,haematopoietic_and_lymphoid_tissue
prostate,716,20740,prostate
pubic mass,1,NA,soft_tissue
rectosigmoid colon,96,NA,large_intestine
rectum,262,NA,large_intestine
retroperitoneum,84,1,retroperitoneum
rib,1,NA,bone
sacral mass,2,NA,bone
sacrum,1,NA,soft_tissue
salivary gland,9,NA,salivary_gland
scalp,11,NA,skin
sigmoid colon,274,NA,large_intestine
sinonasal,11,NA,soft_tissue
sinus,8,NA,soft_tissue
skin,334,42699,skin
skull,1,NA,bone
skull base,1,NA,haematopoietic_and_lymphoid_tissue
small bowel,64,NA,small_intestine
small intestine,1,NA,small_intestine
soft palate,1,NA,salivary_gland
soft tissue,149,NA,soft_tissue 
spinal cord,2,NA,haematopoietic_and_lymphoid_tissue
spine,3,NA,bone
spleen,3,NA,haematopoietic_and_lymphoid_tissue
stomach,256,25006,stomach
submandibular gland,6,NA,salivary_gland
subungual toe,1,NA,skin
sweat gland,1,NA,skin
testis,240,2167,testis
thigh,9,NA,soft_tissue 
thoracic spine,1,NA,central_nervous_system
thymus,17,998,thymus
thyroid,232,71616,thyroid
tongue,13,NA,head_and_neck
tonsil,10,NA,salivary_gland
trachea,6,NA,salivary_gland
transverse colon,91,NA,large_intestine
umbilical mass,1,NA,peritoneum
unknown,3,NA,NS
upper extremity,9,NA,soft_tissue or bone
upper tract,84,NA,urinary_tract
urethra,10,NA,urinary_tract
uterus,316,NA,endometrium
vagina,14,34,vagina
vulva,10,557,vulva
