primarysite,count(*).x,previous_cosmic_term,cosmic_term,shorter_cosmic_term
NA,1,NS,NS,NS
 lung,1,lung,lung,lung
abdomen,19,soft_tissue,soft_tissue,soft_tissue
abdominal wall,3,soft_tissue,soft_tissue,soft_tissue
adnexa,1,soft_tissue,soft_tissue,soft_tissue
adrenal gland,83,adrenal_gland,adrenal_gland,adrenal_gland
ampulla of vater,15,ampulla of vater,pancreas,pancreas
anal,1,NS,NS,NS
anorectal junction,1,NS,NS,NS
anus,37,large_intestine,large_intestine,large_intestine
appendix,85,large_intestine,large_intestine,large_intestine
arm,4,skin,skin,skin
ascending colon,110,large_intestine,large_intestine,large_intestine
auditory canal,1,skin,skin,skin
axilla,3,soft_tissue,soft_tissue,soft_tissue
back,3,skin,skin,skin
bile duct,48,biliary_tract,biliary_tract,biliary_tract
bladder,336,urinary_tract,urinary_tract,urinary_tract
blood,1,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,blood
blood vessel,5,soft_tissue,soft_tissue,soft_tissue
bone,92,bone,bone,bone
bone marrow,1,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,blood
bowel,1,large_intestine,large_intestine,large_intestine
brain,621,central_nervous_system,central_nervous_system,CNS
breast,1351,breast,breast,breast
buttock,4,soft_tissue,soft_tissue,soft_tissue
cancer of unknown primary,220,NS,NS,NS
cecum,139,large_intestine,large_intestine,large_intestine
cervix,52,cervix,cervix,cervix
cheek,1,NS,NS,NS
chest,1,bone,bone,bone
chest wall,12,soft_tissue,soft_tissue,soft_tissue
clivus,1,bone,bone,bone
colon,15,large_intestine,large_intestine,large_intestine
colorectal nos,16,large_intestine,large_intestine,large_intestine
conjunctiva,4,head_and_neck,skin,skin
descending colon,55,large_intestine,large_intestine,large_intestine
diaphragm,1,pleura,pleura,pleura
duodenum,21,small_intestine,small_intestine,small_intestine
duodenum-jejunum,2,small_intestine,small_intestine,small_intestine
ear canal,1,salivary_gland,salivary_gland,salivary_gland
ectopic embryonic rest,1,salivary_gland,salivary_gland,salivary_gland
epidural,4,bone,bone,bone
esophagus,137,stomach,stomach,stomach
ethmoid sinus,4,head_and_neck,salivary_gland,salivary_gland
eye,52,eye,eye,eye
eyelid,5,skin,skin,skin
femoral tendon,1,salivary_gland,salivary_gland,salivary_gland
femoral vein,1,soft_tissue,soft_tissue,soft_tissue
fibula,1,bone,bone,bone
flank,1,central_nervous_system,central_nervous_system,CNS
foot,9,skin,skin,skin
forearm,1,soft_tissue,soft_tissue,soft_tissue
forehead,1,soft_tissue,soft_tissue,soft_tissue
gallbladder,53,biliary_tract,biliary_tract,biliary_tract
gastric wall,1,soft_tissue,soft_tissue,soft_tissue
ge junction,42,stomach,stomach,stomach
groin,7,soft_tissue,soft_tissue,soft_tissue
hard palate,1,salivary_gland,salivary_gland,salivary_gland
heart,7,soft_tissue,soft_tissue,soft_tissue
hip,1,soft_tissue,soft_tissue,soft_tissue
hypopharynx,3,head_and_neck,upper_aerodigestive_tract,UAT
ileocecal valve,2,small_intestine,small_intestine,small_intestine
ileum,11,small_intestine,small_intestine,small_intestine
inguinal canal,1,soft_tissue,soft_tissue,soft_tissue
intraabdominal,10,soft_tissue,soft_tissue,soft_tissue
intrahepatic bile duct,1,biliary_tract,biliary_tract,biliary_tract
jejunum,11,small_intestine,small_intestine,small_intestine
kidney,369,kidney,kidney,kidney
knee,2,bone,bone,bone
larynx,20,head_and_neck,salivary_gland,salivary_gland
leg,17,bone,bone,bone
liver,262,liver,liver,liver
lower extremity,34,soft_tissue,soft_tissue,soft_tissue
lung,1778,lung,lung,lung
lymph node,110,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,blood
major salivary gland,53,salivary_gland,salivary_gland,salivary_gland
mandible,1,head_and_neck,bone,bone
maxilla,8,soft_tissue,soft_tissue,soft_tissue
maxillary sinus,1,soft_tissue,soft_tissue,soft_tissue
mediastinum,60,mediastinum,mediastinum,mediastinum
mesentery,5,soft_tissue ,soft_tissue ,soft_tissue 
minor salivary gland,25,salivary_gland,salivary_gland,salivary_gland
muscle,4,soft_tissue,soft_tissue,soft_tissue
nailbed,3,skin,skin,skin
nasal cavity,1,head_and_neck,salivary_gland,salivary_gland
nasopharynx,21,head_and_neck,salivary_gland,salivary_gland
neck,16,head_and_neck ,skin,skin
nerve sheath,1,peripheral_nervous_system,soft_tissue,soft_tissue
not available,28,NS,NS,NS
omentum,3,peritoneum,peritoneum,peritoneum
oral cavity,50,head_and_neck,salivary_gland,salivary_gland
orbit,1,head_and_neck,soft_tissue,soft_tissue
oropharynx,41,head_and_neck,upper_aerodigestive_tract,UAT
ovary,251,ovary,ovary,ovary
palate,1,soft_tissue ,soft_tissue ,soft_tissue 
pancreas,515,pancreas,pancreas,pancreas
paraspinal,1,central_nervous_system,central_nervous_system,CNS
parotid,2,skin,skin,skin
parotid gland,12,skin,skin,skin
pelvis,27,soft_tissue,soft_tissue,soft_tissue
penis,9,penis,penis,penis
